run_id,exp,model,variant,mode,partition,alpha,seed,n_params,rounds,final_accuracy,final_f1_macro,final_f1_weighted,best_accuracy,bytes_per_round_uplink_per_client,total_uplink_bytes
e1_botiot_binary_kan_h8__dir0.1__seed37,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,37,3280,50,0.9963189238152138,0.9963189122425136,0.9963189264568084,0.9969741939214062,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,42,3280,50,0.9968778306704955,0.9968778299456934,0.996877833221799,0.9973403742748665,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed43,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,43,3280,50,0.918380326478694,0.9178248507582386,0.9178395644845422,0.9588143465607956,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed2024,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,2024,3280,50,0.9960876520130283,0.9960876520130283,0.9960876520130283,0.9962996511650317,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed2026,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,2026,3280,50,0.9973018289745023,0.9973018288933244,0.9973018299125571,0.9973403742748665,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,42,3280,50,0.9963960144159424,0.9963960105124448,0.9963960186808749,0.9971861930734095,15376,7688000
e1_botiot_binary_kan_h8__iid__seed2024,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,2024,3280,50,0.9755430069188814,0.9755326408884655,0.9755315441080936,0.9759862778730704,15376,7688000
e1_botiot_binary_kan_h8__iid__seed2026,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,2026,3280,50,0.9755430069188814,0.9755318091707776,0.9755306692198447,0.9757550060708848,15376,7688000
e1_botiot_binary_kan_h8__iid__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,42,3280,50,0.9744830111588645,0.9744714750426096,0.9744702931920776,0.9746371923603214,15376,7688000
e1_botiot_binary_mlp_h32__dir0.1__seed11,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,11,1346,50,0.9797829899589493,0.9797757164124359,0.9797765516875944,0.9807658951182378,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed17,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,17,1346,50,0.998169098232698,0.9981690945086759,0.9981691001953583,0.9987472777381617,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,2024,1346,50,0.8096440341511362,0.8024222542618775,0.8025045184884387,0.8895098965058685,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,2026,1346,50,0.6044095823616705,0.5351923108547162,0.5348016824933175,0.66585079114229,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed23,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,23,1346,50,0.9665812245841926,0.966549138114033,0.9665468818781101,0.9721895657871914,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed29,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,29,1346,50,0.730587623104053,0.7196249368990892,0.7195041977625238,0.7439435696802668,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed31,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,31,1346,50,0.969684121263515,0.96967680434988,0.9696757785294821,0.9701273922177038,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed37,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,37,1346,50,0.9956829263592036,0.9956828816383819,0.9956829118985787,0.9956829263592036,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,42,1346,50,0.9977836452290555,0.9977836444881465,0.9977836472789033,0.9979956443810588,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed43,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,43,1346,50,0.9101894501512903,0.9094657737403615,0.9094834015555016,0.9101894501512903,5384,2692000
e1_botiot_binary_mlp_h32__dir1.0__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,2024,1346,50,0.9972054657235917,0.9972054633320653,0.9972054689621169,0.9972825563243202,5384,2692000
e1_botiot_binary_mlp_h32__dir1.0__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,2026,1346,50,0.9972054657235917,0.9972054647894022,0.9972054683081826,0.9972054657235917,5384,2692000
e1_botiot_binary_mlp_h32__dir1.0__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,42,1346,50,0.99755237342687,0.9975523729868488,0.9975523752469571,0.9975716460770521,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,2024,1346,50,0.9968200127199491,0.9968200113545291,0.9968200158925429,0.9969934665715883,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,2026,1346,50,0.9761982770250737,0.9761881129875185,0.9761870415917688,0.9761982770250737,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,42,1346,50,0.9970705571723167,0.9970705562572263,0.9970705598229237,0.9970898298224989,5384,2692000
e1_botiot_binary_mlp_h80__dir0.1__seed11,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,11,3362,50,0.9226974001194904,0.9222417327484962,0.9222546960951534,0.9924643937787885,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed17,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,17,3362,50,0.9987087324377976,0.9987087290535757,0.9987087336061597,0.9987087324377976,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed2024,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,2024,3362,50,0.8471871567059186,0.8434945854279201,0.8435469393243333,0.8471871567059186,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed2026,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,2026,3362,50,0.5645344691348507,0.46528849496150926,0.46478680420900015,0.6403723476015187,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed23,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,23,3362,50,0.9735386512999402,0.9735234323278033,0.9735220498970544,0.9735386512999402,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed29,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,29,3362,50,0.679418736870507,0.6612678597212974,0.6610970954953495,0.7350974232466706,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed31,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,31,3362,50,0.9733266521479369,0.9733168793708284,0.9733157672622551,0.9742131940563147,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed37,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,37,3362,50,0.9950469289031935,0.9950467543715513,0.9950468184042641,0.9954709272072002,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed42,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,42,3362,50,0.9981112802821516,0.9981112783115329,0.9981112825130407,0.9981112802821516,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed43,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,43,3362,50,0.9186308709310618,0.9180980663414964,0.9181124527019792,0.9206352265500028,13448,6724000
e1_botiot_binary_mlp_h80__dir1.0__seed2024,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,1.0,2024,3362,50,0.9977258272785091,0.9977258241353483,0.9977258299579248,0.997880008479966,13448,6724000
e1_botiot_binary_mlp_h80__dir1.0__seed2026,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,1.0,2026,3362,50,0.9974367375257772,0.9974367353321703,0.9974367404962865,0.99755237342687,13448,6724000
e1_botiot_binary_mlp_h80__dir1.0__seed42,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,1.0,42,3362,50,0.9976294640275984,0.9976294627561555,0.9976294665370251,0.9976872819781448,13448,6724000
e1_botiot_binary_mlp_h80__iid__seed2024,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,iid,,2024,3362,50,0.9973789195752308,0.9973789164121268,0.9973789226828417,0.9974945554763236,13448,6724000
e1_botiot_binary_mlp_h80__iid__seed2026,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,iid,,2026,3362,50,0.9973596469250486,0.997359646360154,0.9973596490198662,0.9973981922254129,13448,6724000
e1_botiot_binary_mlp_h80__iid__seed42,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,iid,,42,3362,50,0.9973211016246845,0.9973211001878506,0.9973211044605408,0.9973211016246845,13448,6724000
e1_botiot_multiclass_kan_h16__dir0.1__seed11,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,11,7040,50,0.8704742604354595,0.698639445369482,0.8633065335855992,0.8747003435237131,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed17,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,17,7040,50,0.9634233744408472,0.7751971663955844,0.9579086651948504,0.9638435113560537,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed2024,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,2024,7040,50,0.7519709364110422,0.7179663787442678,0.7468374809322497,0.869090280008897,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed2026,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,2026,7040,50,0.9005264068408175,0.7597676649103888,0.8968813050322377,0.914044929935991,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed23,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,23,7040,50,0.7699132540839779,0.7479194844050469,0.7020161932289195,0.8047104762375503,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed29,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,29,7040,50,0.9035662209920174,0.7268852437640413,0.8982097765415827,0.9165904653634185,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed31,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,31,7040,50,0.8889355707683563,0.8983630144233491,0.8872547067482607,0.9264760398388652,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed37,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,37,7040,50,0.8130637866693028,0.6384282960202309,0.7889038084425658,0.8140029162444703,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed42,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,42,7040,50,0.9176778785557176,0.7386005411757696,0.9126863321747888,0.9185428663223192,30800,15400000
e1_botiot_multiclass_kan_h16__dir0.1__seed43,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,0.1,43,7040,50,0.9251414872846798,0.7449336773839309,0.9205121683809047,0.9251662012208685,30800,15400000
e1_botiot_multiclass_kan_h16__dir1.0__seed2024,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,1.0,2024,7040,50,0.9329263771840941,0.9367773123174583,0.9332439398636407,0.9349282060153721,30800,15400000
e1_botiot_multiclass_kan_h16__dir1.0__seed2026,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,1.0,2026,7040,50,0.9363121864419346,0.9377837651034862,0.9364889538810418,0.9364851839952549,30800,15400000
e1_botiot_multiclass_kan_h16__dir1.0__seed42,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,dirichlet,1.0,42,7040,50,0.9318142500556064,0.9368386633596378,0.9321994252006757,0.9348293502706176,30800,15400000
e1_botiot_multiclass_kan_h16__iid__seed2024,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,iid,,2024,7040,50,0.937572597187554,0.9405678858397252,0.9377111730522223,0.937572597187554,30800,15400000
e1_botiot_multiclass_kan_h16__iid__seed2026,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,iid,,2026,7040,50,0.9338902206954501,0.9364729008344103,0.934273982275223,0.933964362504016,30800,15400000
e1_botiot_multiclass_kan_h16__iid__seed42,e1_botiot_multiclass_kan_h16,kan,kan_h16,multiclass,iid,,42,7040,50,0.9345080691001656,0.9376694064133373,0.934902665476483,0.9349776338877493,30800,15400000
e1_botiot_multiclass_kan_h8__dir0.1__seed11,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,11,3520,50,0.8661740355386403,0.6966608154708116,0.8608615469327676,0.8695351308602921,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed17,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,17,3520,50,0.9632503768875269,0.7750312758043496,0.9577036747205468,0.9635469441217903,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed2024,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,2024,3520,50,0.8673850184118824,0.7253900240910929,0.8656190762626477,0.8673850184118824,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed2026,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,2026,3520,50,0.8081951412401454,0.652631668394706,0.806454870368863,0.8926426611966488,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed23,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,23,3520,50,0.7784642760052394,0.7554204906975273,0.7196867360013329,0.8637026419197785,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed29,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,29,3520,50,0.7882757086721202,0.6073504529381066,0.7505010169019927,0.8958307589649803,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed31,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,31,3520,50,0.9055433358871068,0.9029896206457234,0.905252175374002,0.9062106121641994,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed37,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,37,3520,50,0.7981365692113783,0.6194408995500645,0.765441143204983,0.9192101425994118,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed42,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,42,3520,50,0.9123890962113536,0.7344528693464151,0.9075610673286892,0.9152806267454218,16336,8168000
e1_botiot_multiclass_kan_h8__dir0.1__seed43,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,0.1,43,3520,50,0.9129328028075031,0.7350260830287569,0.908269385647081,0.9135012233398413,16336,8168000
e1_botiot_multiclass_kan_h8__dir1.0__seed2024,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,1.0,2024,3520,50,0.9350023478239379,0.9383606934919971,0.9353177314958139,0.9350023478239379,16336,8168000
e1_botiot_multiclass_kan_h8__dir1.0__seed2026,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,1.0,2026,3520,50,0.9332970862269233,0.935198323406181,0.9336716726740953,0.933964362504016,16336,8168000
e1_botiot_multiclass_kan_h8__dir1.0__seed42,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,dirichlet,1.0,42,3520,50,0.9317401082470405,0.935485573224051,0.9321275896795231,0.9345822109087314,16336,8168000
e1_botiot_multiclass_kan_h8__iid__seed2024,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,iid,,2024,3520,50,0.9327039517583966,0.9369459658487965,0.9330410477241293,0.9351506314410696,16336,8168000
e1_botiot_multiclass_kan_h8__iid__seed2026,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,iid,,2026,3520,50,0.9332723722907348,0.9349080308959961,0.9336375127679152,0.9335936534611867,16336,8168000
e1_botiot_multiclass_kan_h8__iid__seed42,e1_botiot_multiclass_kan_h8,kan,kan_h8,multiclass,iid,,42,3520,50,0.9316165385660974,0.935340445938097,0.9319842680908977,0.9345822109087314,16336,8168000
e1_botiot_multiclass_mlp_h32__dir0.1__seed11,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,11,1445,50,0.8544596297852359,0.6840605931543311,0.8452914924181734,0.8624669451103477,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed17,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,17,1445,50,0.9596668561401774,0.7720976443407098,0.954078595680881,0.9596668561401774,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed2024,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,2024,1445,50,0.7255270246892223,0.6984169409402933,0.6890790284861308,0.7255270246892223,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed2026,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,2026,1445,50,0.9063588957813311,0.7342815874679084,0.9013824070242129,0.9063588957813311,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed23,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,23,1445,50,0.7747818995131355,0.7475833962681315,0.710630259334922,0.7774015767491288,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed29,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,29,1445,50,0.8553740454242147,0.6851224307935406,0.8466036018010782,0.8608605392580876,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed31,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,31,1445,50,0.8693374193707832,0.8401614538542264,0.8646751245749322,0.86993055383931,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed37,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,37,1445,50,0.8028075031510269,0.6294847177637353,0.7778522573261193,0.8057237476212836,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed42,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,42,1445,50,0.9145144947235746,0.7364857102452186,0.9100730423414214,0.9145144947235746,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed43,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,43,1445,50,0.9174307391938314,0.7387674161161958,0.9128925390062474,0.9176037367471517,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed2024,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,2024,1445,50,0.9310728319699478,0.93375130059922,0.9313837040197472,0.9310728319699478,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed2026,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,2026,1445,50,0.9289474334577268,0.9326935129744107,0.9292871367956502,0.9289474334577268,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed42,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,42,1445,50,0.9304549835652325,0.9342732205929021,0.9308428723718879,0.9305538393099869,5780,2890000
e1_botiot_multiclass_mlp_h32__iid__seed2024,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,iid,,2024,1445,50,0.9317153943108519,0.9347996347098928,0.9320190666697216,0.9317153943108519,5780,2890000
e1_botiot_multiclass_mlp_h32__iid__seed2026,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,iid,,2026,1445,50,0.929639423671008,0.9328866759924903,0.9299967966266217,0.9298124212243284,5780,2890000
e1_botiot_multiclass_mlp_h32__iid__seed42,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,iid,,42,1445,50,0.9298865630328943,0.9327456678007117,0.930254390184504,0.9299112769690828,5780,2890000
e1_botiot_multiclass_mlp_h80__dir0.1__seed11,e1_botiot_multiclass_mlp_h80,mlp,mlp_h80,multiclass,dirichlet,0.1,11,3605,50,0.847688011269555,0.6801890058894554,0.8405073843875336,0.8670390233052419,14420,7210000
e1_botiot_multiclass_mlp_h80__dir0.1__seed17,e1_botiot_multiclass_mlp_h80,mlp,mlp_h80,multiclass,dirichlet,0.1,17,3605,50,0.9621135358228505,0.7741119218886913,0.95656763202023,0.9633986605046586,14420,7210000
e1_botiot_multiclass_mlp_h80__dir0.1__seed2024,e1_botiot_multiclass_mlp_h80,mlp,mlp_h80,multiclass,dirichlet,0.1,2024,3605,50,0.7147270345747967,0.7046920580306776,0.6565612971341884,0.7164075822356226,14420,7210000
e1_botiot_multiclass_mlp_h80__dir0.1__seed2026,e1_botiot_multiclass_mlp_h80,mlp,mlp_h80,multiclass,dirichlet,0.1,2026,3605,50,0.9023552381187752,0.7264736043684297,0.8977011150537895,0.9143167832340657,14420,7210000
e1_botiot_multiclass_mlp_h80__dir0.1__seed23,e1_botiot_multiclass_mlp_h80,mlp,mlp_h80,multiclass,dirichlet,0.1,23,3605,50,0.7727059288732917,0.7385275542180264,0.7042298847309056,0.7874601487778958,14420,7210000
